CMDLINE python3 adjoint.py
MEM 403.546875 1738751430.3292
MEM 403.984375 1738751430.4343
MEM 407.593750 1738751430.5395
MEM 407.906250 1738751430.6446
MEM 407.906250 1738751430.7452
MEM 407.906250 1738751430.8505
MEM 407.906250 1738751430.9556
MEM 408.140625 1738751431.0608
MEM 408.953125 1738751431.1658
MEM 408.890625 1738751431.2710
MEM 409.125000 1738751431.3761
MEM 409.734375 1738751431.4813
MEM 409.828125 1738751431.5859
MEM 410.406250 1738751431.6910
MEM 410.343750 1738751431.7938
MEM 410.343750 1738751431.8990
MEM 415.359375 1738751432.0042
MEM 417.156250 1738751432.1094
MEM 417.343750 1738751432.2145
MEM 417.578125 1738751432.3197
MEM 417.671875 1738751432.4248
MEM 418.750000 1738751432.5300
MEM 419.437500 1738751432.6351
MEM 419.828125 1738751432.7402
MEM 420.093750 1738751432.8453
MEM 420.468750 1738751432.9504
MEM 421.843750 1738751433.0556
MEM 422.468750 1738751433.1607
MEM 422.687500 1738751433.2657
MEM 423.093750 1738751433.3708
MEM 424.453125 1738751433.4759
MEM 425.890625 1738751433.5811
MEM 426.515625 1738751433.6863
MEM 426.734375 1738751433.7915
MEM 426.828125 1738751433.8925
MEM 427.625000 1738751433.9977
MEM 428.546875 1738751434.1028
MEM 428.890625 1738751434.2080
MEM 429.000000 1738751434.3131
MEM 428.828125 1738751434.4172
MEM 428.984375 1738751434.5223
MEM 428.796875 1738751434.6238
MEM 429.296875 1738751434.7257
MEM 433.000000 1738751434.8288
MEM 433.421875 1738751434.9337
MEM 436.078125 1738751435.0387
MEM 436.437500 1738751435.1439
MEM 436.671875 1738751435.2489
MEM 436.890625 1738751435.3541
MEM 436.890625 1738751435.4592
MEM 437.015625 1738751435.5643
MEM 438.625000 1738751435.6695
MEM 440.062500 1738751435.7746
MEM 440.468750 1738751435.8752
MEM 441.015625 1738751435.9802
MEM 441.000000 1738751436.0854
MEM 440.968750 1738751436.1905
MEM 440.968750 1738751436.2956
MEM 441.031250 1738751436.4008
MEM 441.562500 1738751436.5059
MEM 442.281250 1738751436.6111
MEM 442.953125 1738751436.7162
MEM 443.484375 1738751436.8213
MEM 443.546875 1738751436.9265
MEM 443.578125 1738751437.0269
MEM 443.437500 1738751437.1321
MEM 443.781250 1738751437.2340
MEM 444.281250 1738751437.3391
MEM 444.593750 1738751437.4420
MEM 444.765625 1738751437.5472
MEM 445.109375 1738751437.6523
MEM 446.671875 1738751437.7526
MEM 446.875000 1738751437.8577
MEM 447.171875 1738751437.9628
MEM 447.265625 1738751438.0672
MEM 447.328125 1738751438.1717
MEM 447.937500 1738751438.2724
MEM 447.984375 1738751438.3775
MEM 448.187500 1738751438.4777
MEM 448.546875 1738751438.5829
MEM 449.703125 1738751438.6880
MEM 449.906250 1738751438.7932
MEM 449.906250 1738751438.8983
MEM 450.906250 1738751439.0034
MEM 452.625000 1738751439.1084
MEM 453.031250 1738751439.2136
MEM 453.734375 1738751439.3186
MEM 453.828125 1738751439.4238
MEM 453.875000 1738751439.5263
MEM 454.000000 1738751439.6314
MEM 454.218750 1738751439.7366
MEM 454.250000 1738751439.8418
MEM 454.578125 1738751439.9470
MEM 456.687500 1738751440.0521
MEM 463.640625 1738751440.1572
MEM 463.546875 1738751440.2624
MEM 464.734375 1738751440.3676
MEM 464.734375 1738751440.4728
MEM 467.359375 1738751440.5779
MEM 471.796875 1738751440.6811
MEM 472.031250 1738751440.7839
MEM 472.812500 1738751440.8890
MEM 473.203125 1738751440.9922
MEM 474.140625 1738751441.0974
MEM 479.437500 1738751441.2025
MEM 480.250000 1738751441.3077
MEM 481.187500 1738751441.4128
MEM 481.468750 1738751441.5179
MEM 481.625000 1738751441.6230
MEM 481.609375 1738751441.7281
MEM 482.031250 1738751441.8333
MEM 482.750000 1738751441.9384
MEM 482.796875 1738751442.0435
MEM 482.890625 1738751442.1486
MEM 483.531250 1738751442.2538
MEM 484.343750 1738751442.3589
MEM 484.375000 1738751442.4640
MEM 484.828125 1738751442.5691
MEM 485.765625 1738751442.6742
MEM 486.109375 1738751442.7794
MEM 486.140625 1738751442.8845
MEM 486.515625 1738751442.9877
MEM 486.796875 1738751443.0928
MEM 487.781250 1738751443.1978
MEM 488.500000 1738751443.2992
MEM 488.609375 1738751443.4043
MEM 488.609375 1738751443.5093
MEM 489.000000 1738751443.6143
MEM 490.562500 1738751443.7195
MEM 490.593750 1738751443.8246
MEM 491.609375 1738751443.9298
MEM 492.078125 1738751444.0348
MEM 492.281250 1738751444.1399
MEM 492.484375 1738751444.2450
MEM 492.578125 1738751444.3502
MEM 493.515625 1738751444.4554
MEM 493.671875 1738751444.5605
MEM 493.812500 1738751444.6657
MEM 494.312500 1738751444.7710
MEM 500.609375 1738751444.8761
MEM 500.890625 1738751444.9813
MEM 500.937500 1738751445.0841
MEM 500.875000 1738751445.1894
MEM 501.078125 1738751445.2945
MEM 501.812500 1738751445.3997
MEM 502.218750 1738751445.5047
MEM 502.421875 1738751445.6098
MEM 502.296875 1738751445.7149
MEM 502.390625 1738751445.8177
MEM 503.453125 1738751445.9229
MEM 504.312500 1738751446.0280
MEM 504.500000 1738751446.1331
MEM 504.406250 1738751446.2341
MEM 504.656250 1738751446.3393
MEM 505.609375 1738751446.4444
MEM 506.484375 1738751446.5495
MEM 506.437500 1738751446.6547
MEM 506.828125 1738751446.7598
MEM 507.765625 1738751446.8650
MEM 507.984375 1738751446.9702
MEM 507.953125 1738751447.0753
MEM 507.984375 1738751447.1804
MEM 508.078125 1738751447.2856
MEM 508.171875 1738751447.3907
MEM 508.125000 1738751447.4959
MEM 508.765625 1738751447.6011
MEM 509.593750 1738751447.7062
MEM 510.296875 1738751447.8113
MEM 510.343750 1738751447.9164
MEM 510.375000 1738751448.0215
MEM 510.796875 1738751448.1266
MEM 510.796875 1738751448.2317
MEM 510.671875 1738751448.3368
MEM 511.046875 1738751448.4420
MEM 513.593750 1738751448.5471
MEM 513.687500 1738751448.6523
MEM 513.921875 1738751448.7546
MEM 514.531250 1738751448.8597
MEM 514.546875 1738751448.9627
MEM 514.484375 1738751449.0669
MEM 514.578125 1738751449.1721
MEM 514.531250 1738751449.2764
MEM 514.687500 1738751449.3816
MEM 514.593750 1738751449.4867
MEM 515.843750 1738751449.5919
MEM 515.921875 1738751449.6970
MEM 516.187500 1738751449.8021
MEM 516.109375 1738751449.9073
MEM 516.453125 1738751450.0124
MEM 517.343750 1738751450.1176
MEM 518.578125 1738751450.2227
MEM 519.406250 1738751450.3279
MEM 519.359375 1738751450.4330
MEM 519.656250 1738751450.5381
MEM 519.687500 1738751450.6426
MEM 519.906250 1738751450.7478
MEM 519.937500 1738751450.8529
MEM 520.015625 1738751450.9580
MEM 520.843750 1738751451.0631
MEM 521.000000 1738751451.1682
MEM 521.796875 1738751451.2733
MEM 521.875000 1738751451.3784
MEM 523.140625 1738751451.4835
MEM 525.328125 1738751451.5887
MEM 525.937500 1738751451.6938
MEM 526.250000 1738751451.7988
MEM 526.312500 1738751451.9040
MEM 526.375000 1738751452.0090
MEM 528.500000 1738751452.1142
MEM 529.703125 1738751452.2193
MEM 531.328125 1738751452.3245
MEM 532.109375 1738751452.4295
MEM 532.328125 1738751452.5347
MEM 532.234375 1738751452.6398
MEM 532.500000 1738751452.7450
MEM 533.078125 1738751452.8502
MEM 533.203125 1738751452.9545
MEM 533.437500 1738751453.0596
MEM 533.468750 1738751453.1648
MEM 534.593750 1738751453.2699
MEM 535.281250 1738751453.3750
MEM 535.406250 1738751453.4787
MEM 535.484375 1738751453.5839
MEM 537.468750 1738751453.6891
MEM 539.125000 1738751453.7942
MEM 539.125000 1738751453.8994
MEM 539.031250 1738751454.0034
MEM 539.046875 1738751454.1085
MEM 539.203125 1738751454.2137
MEM 539.531250 1738751454.3189
MEM 539.859375 1738751454.4239
MEM 539.875000 1738751454.5291
MEM 540.250000 1738751454.6342
MEM 540.734375 1738751454.7394
MEM 540.968750 1738751454.8445
MEM 541.703125 1738751454.9497
MEM 542.484375 1738751455.0548
MEM 542.531250 1738751455.1599
MEM 543.062500 1738751455.2651
MEM 543.765625 1738751455.3702
MEM 543.687500 1738751455.4753
MEM 543.796875 1738751455.5804
MEM 545.203125 1738751455.6855
MEM 545.203125 1738751455.7906
MEM 546.218750 1738751455.8958
MEM 548.843750 1738751456.0009
MEM 549.375000 1738751456.1012
MEM 549.312500 1738751456.2063
MEM 549.734375 1738751456.3114
MEM 549.937500 1738751456.4165
MEM 550.062500 1738751456.5216
MEM 550.078125 1738751456.6268
