CMDLINE python3 adjoint.py
MEM 429.578125 1738750401.2937
MEM 429.578125 1738750401.3987
MEM 429.640625 1738750401.5037
MEM 429.578125 1738750401.6088
MEM 429.578125 1738750401.7138
MEM 429.625000 1738750401.8189
MEM 429.625000 1738750401.9239
MEM 429.625000 1738750402.0289
MEM 429.656250 1738750402.1339
MEM 429.703125 1738750402.2390
MEM 429.984375 1738750402.3440
MEM 429.984375 1738750402.4490
MEM 429.890625 1738750402.5541
MEM 429.875000 1738750402.6591
MEM 429.890625 1738750402.7642
MEM 429.953125 1738750402.8692
MEM 430.078125 1738750402.9722
MEM 430.140625 1738750403.0773
MEM 430.156250 1738750403.1823
MEM 430.218750 1738750403.2873
MEM 430.218750 1738750403.3924
MEM 430.203125 1738750403.4976
MEM 430.218750 1738750403.6027
MEM 430.218750 1738750403.7068
MEM 430.218750 1738750403.8119
MEM 430.187500 1738750403.9169
MEM 430.187500 1738750404.0219
MEM 430.187500 1738750404.1270
MEM 430.156250 1738750404.2320
MEM 430.156250 1738750404.3370
MEM 430.093750 1738750404.4421
MEM 430.093750 1738750404.5471
MEM 430.093750 1738750404.6521
MEM 430.093750 1738750404.7571
MEM 430.093750 1738750404.8622
MEM 430.093750 1738750404.9672
MEM 430.093750 1738750405.0722
MEM 430.093750 1738750405.1773
MEM 429.968750 1738750405.2823
MEM 429.953125 1738750405.3873
MEM 430.234375 1738750405.4924
MEM 430.250000 1738750405.5974
MEM 430.265625 1738750405.7024
MEM 430.484375 1738750405.8075
MEM 430.781250 1738750405.9126
MEM 430.937500 1738750406.0176
MEM 430.968750 1738750406.1226
MEM 430.984375 1738750406.2277
MEM 430.984375 1738750406.3327
MEM 431.015625 1738750406.4377
MEM 431.046875 1738750406.5428
MEM 431.062500 1738750406.6478
MEM 431.125000 1738750406.7530
MEM 431.187500 1738750406.8580
MEM 431.203125 1738750406.9630
MEM 431.281250 1738750407.0681
MEM 431.343750 1738750407.1731
MEM 431.421875 1738750407.2781
MEM 431.500000 1738750407.3832
MEM 431.609375 1738750407.4882
MEM 431.671875 1738750407.5932
MEM 431.687500 1738750407.6983
MEM 431.812500 1738750407.8033
MEM 431.953125 1738750407.9084
MEM 431.953125 1738750408.0084
MEM 431.984375 1738750408.1134
MEM 431.984375 1738750408.2185
MEM 432.015625 1738750408.3235
MEM 432.031250 1738750408.4285
MEM 432.046875 1738750408.5336
MEM 432.078125 1738750408.6386
MEM 432.187500 1738750408.7436
MEM 432.328125 1738750408.8487
MEM 432.390625 1738750408.9537
MEM 432.375000 1738750409.0588
MEM 432.437500 1738750409.1639
MEM 432.437500 1738750409.2689
MEM 432.437500 1738750409.3740
MEM 432.437500 1738750409.4790
MEM 432.437500 1738750409.5840
MEM 432.406250 1738750409.6891
MEM 432.468750 1738750409.7941
MEM 432.484375 1738750409.8991
MEM 432.500000 1738750410.0041
MEM 432.515625 1738750410.1092
MEM 432.546875 1738750410.2142
MEM 432.703125 1738750410.3192
MEM 432.812500 1738750410.4243
MEM 432.859375 1738750410.5293
MEM 433.031250 1738750410.6343
MEM 433.109375 1738750410.7393
MEM 433.031250 1738750410.8444
MEM 433.031250 1738750410.9494
MEM 433.140625 1738750411.0545
MEM 433.328125 1738750411.1595
MEM 433.453125 1738750411.2646
MEM 433.625000 1738750411.3696
MEM 433.859375 1738750411.4746
MEM 434.015625 1738750411.5797
MEM 434.046875 1738750411.6847
MEM 434.000000 1738750411.7899
MEM 434.000000 1738750411.8950
MEM 434.015625 1738750412.0002
MEM 434.015625 1738750412.1052
MEM 433.984375 1738750412.2103
MEM 434.375000 1738750412.3153
MEM 435.265625 1738750412.4205
MEM 435.265625 1738750412.5239
MEM 435.250000 1738750412.6291
MEM 435.250000 1738750412.7343
MEM 435.187500 1738750412.8394
MEM 435.390625 1738750412.9445
MEM 435.421875 1738750413.0497
MEM 435.421875 1738750413.1549
MEM 435.468750 1738750413.2600
MEM 435.468750 1738750413.3651
MEM 435.468750 1738750413.4703
MEM 439.156250 1738750413.5754
MEM 439.093750 1738750413.6803
MEM 439.187500 1738750413.7855
MEM 439.234375 1738750413.8906
MEM 439.218750 1738750413.9958
MEM 439.218750 1738750414.1010
MEM 439.562500 1738750414.2034
MEM 439.562500 1738750414.3086
MEM 439.578125 1738750414.4138
MEM 439.609375 1738750414.5189
MEM 439.609375 1738750414.6241
MEM 439.656250 1738750414.7292
MEM 439.718750 1738750414.8328
MEM 439.890625 1738750414.9380
