CMDLINE /Users/sghelichkhani/Workplace/firedrake-2025-01-23/bin/python3 adjoint.py
MEM 459.484375 1739142527.9290
MEM 459.937500 1739142528.0341
MEM 464.421875 1739142528.1364
MEM 464.421875 1739142528.2399
MEM 464.421875 1739142528.3408
MEM 464.468750 1739142528.4459
MEM 464.468750 1739142528.5511
MEM 464.468750 1739142528.6563
MEM 464.531250 1739142528.7614
MEM 464.625000 1739142528.8665
MEM 464.625000 1739142528.9717
MEM 464.625000 1739142529.0768
MEM 464.640625 1739142529.1819
MEM 464.640625 1739142529.2871
MEM 464.671875 1739142529.3923
MEM 464.687500 1739142529.4973
MEM 464.750000 1739142529.6025
MEM 464.750000 1739142529.7076
MEM 464.765625 1739142529.8128
MEM 464.765625 1739142529.9179
MEM 464.781250 1739142530.0230
MEM 464.796875 1739142530.1282
MEM 464.812500 1739142530.2333
MEM 464.875000 1739142530.3385
MEM 464.875000 1739142530.4438
MEM 464.890625 1739142530.5489
MEM 464.921875 1739142530.6540
MEM 464.937500 1739142530.7592
MEM 464.937500 1739142530.8643
MEM 465.046875 1739142530.9695
MEM 465.359375 1739142531.0746
MEM 465.359375 1739142531.1798
MEM 465.359375 1739142531.2849
MEM 466.046875 1739142531.3852
MEM 466.125000 1739142531.4904
MEM 466.125000 1739142531.5956
MEM 466.375000 1739142531.6969
MEM 470.906250 1739142531.8020
MEM 470.906250 1739142531.9071
MEM 470.906250 1739142532.0123
MEM 471.000000 1739142532.1174
MEM 471.125000 1739142532.2182
MEM 471.125000 1739142532.3190
MEM 471.171875 1739142532.4226
MEM 471.359375 1739142532.5277
MEM 471.906250 1739142532.6279
MEM 471.921875 1739142532.7283
MEM 471.984375 1739142532.8299
MEM 472.046875 1739142532.9313
MEM 472.046875 1739142533.0364
MEM 472.093750 1739142533.1415
MEM 472.187500 1739142533.2467
MEM 476.656250 1739142533.3519
MEM 476.656250 1739142533.4571
MEM 476.703125 1739142533.5622
MEM 476.718750 1739142533.6628
MEM 476.718750 1739142533.7634
MEM 476.718750 1739142533.8686
MEM 476.750000 1739142533.9737
MEM 476.750000 1739142534.0788
MEM 476.765625 1739142534.1840
MEM 476.781250 1739142534.2874
MEM 476.781250 1739142534.3926
MEM 476.796875 1739142534.4977
MEM 476.796875 1739142534.6029
MEM 476.812500 1739142534.7043
MEM 481.281250 1739142534.8094
MEM 481.281250 1739142534.9146
MEM 481.281250 1739142535.0198
MEM 481.296875 1739142535.1249
MEM 481.296875 1739142535.2301
MEM 481.296875 1739142535.3352
MEM 481.390625 1739142535.4372
MEM 481.421875 1739142535.5424
MEM 481.421875 1739142535.6475
MEM 481.437500 1739142535.7528
MEM 481.500000 1739142535.8579
MEM 481.515625 1739142535.9631
MEM 481.515625 1739142536.0683
MEM 481.609375 1739142536.1718
MEM 481.656250 1739142536.2769
MEM 481.656250 1739142536.3821
MEM 481.656250 1739142536.4872
MEM 481.656250 1739142536.5923
MEM 481.843750 1739142536.6975
MEM 482.187500 1739142536.8026
MEM 482.656250 1739142536.9077
MEM 482.562500 1739142537.0128
MEM 482.875000 1739142537.1180
MEM 483.312500 1739142537.2230
MEM 483.750000 1739142537.3281
MEM 483.890625 1739142537.4332
MEM 483.796875 1739142537.5383
MEM 483.796875 1739142537.6435
MEM 491.000000 1739142537.7486
MEM 491.312500 1739142537.8536
MEM 491.421875 1739142537.9587
MEM 491.765625 1739142538.0639
MEM 492.093750 1739142538.1690
MEM 492.203125 1739142538.2741
MEM 492.421875 1739142538.3792
MEM 492.671875 1739142538.4843
MEM 492.937500 1739142538.5894
MEM 493.687500 1739142538.6945
MEM 494.203125 1739142538.7996
MEM 494.656250 1739142538.9047
MEM 495.093750 1739142539.0098
MEM 495.703125 1739142539.1149
MEM 497.015625 1739142539.2200
MEM 497.468750 1739142539.3251
MEM 497.640625 1739142539.4302
MEM 497.968750 1739142539.5354
MEM 499.265625 1739142539.6405
MEM 499.859375 1739142539.7456
MEM 499.703125 1739142539.8477
MEM 500.140625 1739142539.9527
MEM 500.703125 1739142540.0579
MEM 500.375000 1739142540.1622
MEM 500.625000 1739142540.2673
MEM 501.562500 1739142540.3724
MEM 501.812500 1739142540.4775
MEM 502.250000 1739142540.5826
MEM 502.500000 1739142540.6877
MEM 502.875000 1739142540.7887
MEM 503.093750 1739142540.8897
MEM 503.031250 1739142540.9945
MEM 502.953125 1739142541.0997
MEM 503.937500 1739142541.2049
MEM 506.156250 1739142541.3058
MEM 506.468750 1739142541.4109
MEM 507.312500 1739142541.5161
MEM 507.390625 1739142541.6212
MEM 507.546875 1739142541.7263
MEM 507.609375 1739142541.8315
MEM 507.703125 1739142541.9325
MEM 507.656250 1739142542.0376
MEM 508.828125 1739142542.1427
MEM 508.968750 1739142542.2479
MEM 509.515625 1739142542.3530
MEM 509.796875 1739142542.4581
MEM 510.125000 1739142542.5591
MEM 510.140625 1739142542.6642
MEM 510.968750 1739142542.7693
MEM 511.531250 1739142542.8744
MEM 511.671875 1739142542.9795
MEM 512.031250 1739142543.0846
MEM 512.156250 1739142543.1898
MEM 512.093750 1739142543.2949
MEM 512.875000 1739142543.3980
MEM 513.203125 1739142543.5030
MEM 513.359375 1739142543.6082
MEM 513.734375 1739142543.7133
MEM 514.484375 1739142543.8180
MEM 515.031250 1739142543.9231
MEM 515.203125 1739142544.0282
MEM 515.500000 1739142544.1332
MEM 515.750000 1739142544.2383
MEM 516.000000 1739142544.3412
MEM 518.875000 1739142544.4463
MEM 520.765625 1739142544.5515
MEM 521.078125 1739142544.6566
MEM 521.437500 1739142544.7618
MEM 521.734375 1739142544.8669
MEM 522.015625 1739142544.9717
MEM 522.515625 1739142545.0767
MEM 522.671875 1739142545.1819
MEM 522.812500 1739142545.2850
MEM 522.937500 1739142545.3901
MEM 523.031250 1739142545.4915
MEM 523.218750 1739142545.5967
MEM 524.203125 1739142545.7019
MEM 525.265625 1739142545.8070
MEM 525.578125 1739142545.9122
MEM 529.343750 1739142546.0174
MEM 529.234375 1739142546.1218
MEM 529.234375 1739142546.2269
MEM 530.046875 1739142546.3289
MEM 530.218750 1739142546.4340
MEM 530.281250 1739142546.5384
MEM 530.359375 1739142546.6435
MEM 531.453125 1739142546.7486
MEM 531.921875 1739142546.8538
MEM 532.593750 1739142546.9589
MEM 532.750000 1739142547.0639
MEM 533.171875 1739142547.1690
MEM 533.437500 1739142547.2742
MEM 534.234375 1739142547.3793
MEM 534.468750 1739142547.4843
MEM 534.671875 1739142547.5894
MEM 535.812500 1739142547.6946
MEM 536.484375 1739142547.7997
MEM 536.921875 1739142547.9012
MEM 537.265625 1739142548.0063
MEM 538.937500 1739142548.1114
MEM 539.921875 1739142548.2165
MEM 540.109375 1739142548.3216
MEM 540.468750 1739142548.4267
MEM 540.671875 1739142548.5280
MEM 540.687500 1739142548.6331
MEM 541.171875 1739142548.7382
MEM 541.531250 1739142548.8412
MEM 541.546875 1739142548.9463
MEM 541.937500 1739142549.0514
MEM 542.234375 1739142549.1564
MEM 542.406250 1739142549.2616
MEM 542.890625 1739142549.3667
MEM 543.375000 1739142549.4718
MEM 543.843750 1739142549.5769
MEM 543.703125 1739142549.6821
MEM 544.078125 1739142549.7872
MEM 544.875000 1739142549.8923
MEM 545.437500 1739142549.9942
MEM 545.625000 1739142550.0989
MEM 548.296875 1739142550.2036
MEM 548.046875 1739142550.3088
MEM 549.906250 1739142550.4139
MEM 550.093750 1739142550.5174
MEM 550.156250 1739142550.6214
MEM 551.218750 1739142550.7265
MEM 551.531250 1739142550.8316
MEM 551.812500 1739142550.9367
MEM 552.015625 1739142551.0418
MEM 552.093750 1739142551.1469
MEM 552.640625 1739142551.2519
MEM 553.171875 1739142551.3571
MEM 553.343750 1739142551.4621
